REF_ID,PRED_ID,DATA_AGGR_CODE,PRED_SCI_NAME,TOT_PRED_STOM_EXAM,TOT_W_FD,PCT_W_FD,TOT_WO_FD,PCT_WO_FD,PRED_DEN,SEX,SEX_RATIO,LIFE_HIST_STAGE,LEN_TYPE,MIN_LEN,MAX_LEN,MN_LEN,MIN_AGE,MAX_AGE,MN_AGE,MIN_WT,MAX_WT,MN_WT,TOT_WT,BIOMASS_DEN,STOM_PCT_FULL,STOM_COND_INDEX,TOT_FD_BIOMASS,TOT_FD_VOL,TOT_FD_CAT,TOT_FD_CAT_W_CNT_DATA,TOT_FD_ITEMS_IN_CAT_W_CNT_DATA,PREDATOR_NOTES,POP _TOT_PRED,POP_PRED_DEN,POP_SEX_RATIO,POP_LIFE_HIST_STAGE,POP_LEN_TYPE,POP_MIN_LEN,POP_MAX_LEN,POP_MN_LEN,POP_MIN_AGE,POP_MAX_AGE,POP_MN_AGE,POP_MIN_WT,POP_MAX_WT,POP_MN_WT,POP_TOT_WT,POP_BIOMASS_DEN
16r,Mund.3,size,Micropogonias undulatus,22,22,100,0,0,NA,NA,NA,NA,SL,76,100,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.4,size,Micropogonias undulatus,70,68,0.97,2,0.03,NA,NA,NA,NA,SL,101,125,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.5,location,Micropogonias undulatus,16,15,0.94,1,0.006,NA,NA,NA,NA,SL,51,125,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.6,location,Micropogonias undulatus,22,21,0.95,1,0.05,NA,NA,NA,NA,SL,51,125,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.7,location,Micropogonias undulatus,59,58,0.98,1,0.02,NA,NA,NA,NA,SL,51,125,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.8,location,Micropogonias undulatus,21,21,1,0,0,NA,NA,NA,NA,SL,51,125,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10k,Scav.1,complete,Scomberomorus cavalla,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11r,Scav.1,complete,Scomberomorus cavalla,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11v,Scav.1,complete,Scomberomorus cavalla,NA,NA,NA,NA,NA,NA,NA,NA,adult,NA,600,1320,960,NA,NA,NA,1814.37,17690.1,9752.24,NA,NA,NA,NA,NA,NA,1,0,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12r,Cchr.1,complete,Chloroscombrus chrysurus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14a,Cchr.1,complete,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.1,size/seasonson,Chloroscombrus chrysurus,28,3,0.1,25,0.9,NA,NA,NA,larval preflexion,SL,1.6,2.9,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.10,size/seasonson,Chloroscombrus chrysurus,23,6,0.26,17,0.74,NA,NA,NA,larval preflexion,SL,1.76,2.91,2.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.11,size/seasonson,Chloroscombrus chrysurus,23,18,0.78,5,0.22,NA,NA,NA,larval,SL,3.09,4,3.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.12,size/seasonson,Chloroscombrus chrysurus,20,17,0.85,3,0.15,NA,NA,NA,larval postflexion,SL,4.03,7.94,5.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.2,size/seasonson,Chloroscombrus chrysurus,17,8,0.47,9,0.53,NA,NA,NA,larval,SL,3.04,3.96,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.3,size/seasonson,Chloroscombrus chrysurus,9,4,0.44,5,0.56,NA,NA,NA,larval postflexion,SL,4.12,6.64,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.4,size/seasonson,Chloroscombrus chrysurus,59,21,0.36,38,0.64,NA,NA,NA,larval preflexion,SL,1.3,3,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.5,size/seasonson,Chloroscombrus chrysurus,22,20,0.91,2,0.09,NA,NA,NA,larval,SL,3.1,4,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.6,size/seasonson,Chloroscombrus chrysurus,44,42,0.95,2,0.05,NA,NA,NA,larval postflexion,SL,4.1,8.07,6.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.7,size/seasonson,Chloroscombrus chrysurus,17,2,0.12,15,0.88,NA,NA,NA,larval preflexion,SL,1.6,2.87,2.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.8,size/seasonson,Chloroscombrus chrysurus,4,2,0.5,2,0.5,NA,NA,NA,larval,SL,3.02,3.82,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15s,Cchr.9,size/seasonson,Chloroscombrus chrysurus,31,18,0.58,13,0.42,NA,NA,NA,larval postflexion,SL,4.03,6.9,5.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.1,complete,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.2,seasonson/diel,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.3,seasonson/diel,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.4,seasonson/diel,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t,Cchr.5,seasonson/diel,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19l,Saur.1,complete,Clupanodon pseudo-hispanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1p,Cchr.1,season,Chloroscombrus chrysurus,16,16,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1p,Cchr.2,season,Chloroscombrus chrysurus,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Saur.1,complete,Sardinella anchovia,7,1,0.14,6,0.86,NA,NA,NA,adult,SL,173,186,177.43,NA,NA,NA,NA,NA,91.46,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Saur.1,complete,Sardinella anchovia,7,1,0.14,6,0.86,NA,NA,NA,adult,SL,173,186,177.43,NA,NA,NA,NA,NA,91.46,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Dpun.1,complete,Decapterus punctatus,20,3,0.15,17,0.85,NA,NA,NA,adult,SL,133,170,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Dpun.1,complete,Decapterus punctatus,20,3,0.15,17,0.85,NA,NA,NA,adult,SL,133,170,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25s,Cchr.1,complete,Chloroscombrus chrysurus,1,1,1,0,0,NA,NA,NA,adult,SL,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2p,Cchr.1,complete,Chloroscombrus chrysurus,NA,NA,NA,NA,NA,0.00139,NA,NA,NA,SL,35,41,38,NA,NA,NA,NA,NA,NA,NA,0.00097,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30l,Dpun.1,complete,Decapterus punctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40c,Scav.1,complete,Scomberomorus cavalla,NA,NA,NA,NA,NA,NA,NA,NA,adult,TL,860,1040,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41b,Scav.1,raw,Scomberomorus cavalla,1,1,1,0,0,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,7,NA,1.33,NA,NA,4535.9237,9071.8474,6803.88555,NA,NA,NA,NA,NA,NA,NA,NA
41b,Scav.2,raw,Scomberomorus cavalla,1,1,1,0,0,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,7,NA,1.33,NA,NA,4535.9237,9071.8474,6803.88555,NA,NA,NA,NA,NA,NA,NA,NA
41b,Scav.3,raw,Scomberomorus cavalla,1,1,1,0,0,NA,NA,NA,adult,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46m,Scav.1,complete,Scomberomorus cavalla,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.1,season,Chloroscombrus chrysurus,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,140,115,NA,NA,NA,NA,NA,NA,1740,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.2,season,Chloroscombrus chrysurus,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715.2,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.3,size,Chloroscombrus chrysurus,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.4,size,Chloroscombrus chrysurus,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.5,size,Chloroscombrus chrysurus,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.6,size,Chloroscombrus chrysurus,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58m,Cchr.7,size,Chloroscombrus chrysurus,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5k,Scav.1,complete,Scomberomorus cavalla,1881,1341,0.713,540,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.1,season,Scomberomorus cavalla,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1449.2,NA,NA,NA,NA,NA,2,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.2,season,Scomberomorus cavalla,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.2,NA,NA,NA,NA,NA,3,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.3,season,Scomberomorus cavalla,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,2,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.4,season,Scomberomorus cavalla,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,NA,NA,NA,NA,NA,1,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6p,Scav.5,season,Scomberomorus cavalla,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1518.6,NA,NA,NA,NA,NA,2,0,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6s,Scav.1,location,Scomberomorus cavalla,1472,518,0.3519,954,0.6481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6s,Scav.2,location,Scomberomorus cavalla,3778,2784,0.7369,994,0.2631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6s,Scav.3,location,Scomberomorus cavalla,1007,707,0.7021,300,0.2979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6s,Scav.4,location,Scomberomorus cavalla,1508,1052,0.6976,456,0.3024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6v,Saur.1,complete,Sardinella anchovia,95,NA,NA,NA,NA,11.61,NA,NA,juvenile,SL,NA,NA,32.32,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6y,Saur.1,season,Sardinella aurita,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6y,Saur.2,season,Sardinella aurita,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8f,Scav.1,size,Scomberomorus cavalla,95,90,0.9474,5,0.0526,NA,NA,NA,L/PL,SL,2.9,13.2,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
