REF_ID,PRED_ID,SOURCE_PREY_NAME,DATABASE_PREY_NAME,PHYSIOLOG_STATE,SED_ORIGIN,PREY_PARTS,LIFE_HIST_STAGE,COND_INDEX,SEX,SEX_RATIO,LEN_TYPE,MIN_LEN,MAX_LEN,MN_LEN,BIOMASS,PCT_BIOMASS,N_CONS,PCT_N_CONS,VOL_CONS,PCT_VOL_CONS,FREQ_OCC,PCT_FREQ_OCC,IRI,PCT_IRI,IRIa,IIR,E,PREY_NOTES,FB_FOOD_I,FB_FOOD_II,FB_FOOD_III,FB_STAGE
16r,Cchr.1,Fishe scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.1,Unidentified digested flesh,Animalia,digestate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.909,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.1,Zooea,Decapoda,NA,NA,NA,zoea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.2,Unidentified crustacea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.2,Fishes,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.2,Unidentified flesh,Animalia,remains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,Unidentified crustacea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,Stomatopoda,Stomatopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,Shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,Squid,Teuthida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,Fishes,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.127,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,Fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,Unidentified flesh,Animalia,remains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.3,Egg masses,Animalia,NA,NA,NA,eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.127,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.4,Unidentified crustacea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.4,Fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.4,Unidentified egg masses,Animalia,NA,NA,NA,eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.176,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.4,Unidentified flesh,Animalia,remains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,Unidentified crustacea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,Stomatopoda,Stomatopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,Shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,Squid,Teuthida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,Fishes,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.894,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,Fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Cchr.5,Unidentified flesh,Animalia,remains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Cchr.1,Detritus,Detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Other fishes,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Carangidae,Carangidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Clupeid fishes,Clupeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Harengula pensacolae,Harengula jaguana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Invertebrates,Invertebrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Lutjanidae,Lutjanidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Opisthonema oglinum,Opisthonema oglinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,scallop,Pectinidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,penaeid shrimp,Penaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Pomadasyidae,Pomadasyidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Sparidae,Sparidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,squid ,Teuthida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Triglidae,Triglidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17b,Scav.1,Unidentifiable food items,Organic matter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61b,Scav.1,silversides,Atheriniformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61b,Scav.1,shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61b,Scav.1,herrings,Clupeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61b,Scav.1,squid ,Teuthida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,Detritus,Detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,Shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,Holothurians,Holothuroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,Crabs,Pleocyemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,Fishes,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,Other taxa,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,Trachypenaeus,Trachypenaeus spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,10,45,19.64,NA,NA,NA,NA,NA,NA,21,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.1,Sicyonia,Sicyonia spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,15,15,15,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Detritus,Detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Holothurians,Holothuroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Crabs,Pleocyemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Fishes,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Other taxa,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,eel,Anguilliformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Ophichthus,Ophichthus spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Trachypenaeus,Trachypenaeus spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,5,35,20,NA,NA,NA,NA,NA,NA,41,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Sicyonia,Sicyonia spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,10,10,10,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.2,Penaeus,Litopenaeus aztecus,NA,NA,NA,NA,NA,NA,NA,TaiL,45,45,45,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.3,Detritus,Detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.3,Shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.3,Crabs,Pleocyemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.3,Other taxa,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.3,Trachypenaeus,Trachypenaeus spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,5,30,15,NA,NA,NA,NA,NA,NA,3,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.3,Sicyonia,Sicyonia spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,15,15,15,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,Detritus,Detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,Shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,Fishes,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,Crabs,Pleocyemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,Other taxa,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,Anchoa ,Anchoa spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,Saurida,Saurida spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,eel,Anguilliformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.4,Trachypenaeus,Trachypenaeus spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,3,45,24,NA,NA,NA,NA,NA,NA,13,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.5,Detritus,Detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.5,Shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.5,Trachypenaeus,Trachypenaeus spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,5,5,5,NA,NA,NA,NA,NA,NA,1,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Detritus,Detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Fish,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Shrimp,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Crabs,Pleocyemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Stomatopods,Stomatopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Squid,Teuthida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Other foods,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Trachypenaeus,Trachypenaeus spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,5,45,25,NA,NA,NA,NA,NA,NA,84,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Sicyonia,Sicyonia spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,15,15,15,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.6,Penaeus,Litopenaeus aztecus,NA,NA,NA,NA,NA,NA,NA,TaiL,45,45,45,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,detritus,Detritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,fish,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,shrimp,Dendobranchiata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,crabs,Pleocyemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,stomatopods,Stomatopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,squid,Teuthida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,other foods,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,Trachypenaeus,Trachypenaeus spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,5,45,25,NA,NA,NA,NA,NA,NA,84,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,Sicyonia,Sicyonia spp.,NA,NA,NA,NA,NA,NA,NA,TaiL,15,15,15,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24d,Mund.7,Penaeus aztecus,Penaeus aztecus,NA,NA,NA,NA,NA,NA,NA,TaiL,45,45,45,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Polychaeta,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.742,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Prionospio pinnata,Prionospio pinnata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Diopatra cuprea,Diopatra cuprea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Glycera americana,Glycera americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Ancistrosyllis sp.,Ancistrosyllis sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Armandia agilis,Armandia agilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Eteone sp.,Eteone sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Glycinde solitaria,Glycinde solitaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16r,Mund.1,Lumbrinereis tenuis,Lumbrinereis tenuis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
